groupId,artifactId,mcrTags
org.apache.drill.contrib,drill-udfs,apache
io.apiman,apiman-gateway-engine-filesystem,"file-system,gateway,io,api,engine"
io.vitess,vitess-grpc-client,"grpc,client,io,rpc,protocol"
org.jboss.resteasy,resteasy-client-api,"jboss,client,api"
net.java.truevfs,truevfs-driver-tar,driver
org.scala-lang,scala-library,"jvm,language,library,scala"
de.bwaldvogel,mongo-java-server-memory-backend,"server,mongodb,memory"
org.apache.nifi.registry,nifi-registry-security-utils,"registry,security,apache"
io.apiman,apiman-gateway-engine-core,"gateway,io,api,engine"
tech.cassandre.trading.bot,cassandre-trading-bot-spring-boot-starter-test,"spring,testing,starter"
io.thorntail,logstash,io
org.odpi.egeria,governance-services-sample,"service,example"
com.sun.faces,jsf-api,"jsf,api"
org.geotools.ogc,net.opengis.wcs,geo
org.springframework.cloud,spring-cloud-starter-kubernetes-client-all,"kubernetes,spring,cloud,client,starter"
org.vaadin.addons,wizards-for-vaadin,"gwt,web-framework"
com.alibaba.smart.framework,smart-engine-extension-retry-common,"framework,engine,extension"
org.wikidata.query.rdf,streaming-updater-consumer,"rdf,streaming,query,consumer"
com.linkedin.cruisecontrol,cruise-control,linkedin
io.helidon.metrics,helidon-metrics-jaeger,"metrics,io"
org.dcm4che,dcm4che-conf-ldap,"ldap,directory"
org.keycloak,keycloak-admin-client,"admin,client"
org.codice.ddf.spatial,spatial-wfs-v1_1_0-common,spatial
com.stormpath.spring,stormpath-spring-security-spring-boot-starter,"security,spring,starter"
org.flowable,flowable-ui-modeler-conf,ui
org.glassfish.main.persistence.cmp,cmp-enhancer,persistence
com.typesafe.akka,akka-http-testkit_2.12,"actor,akka,testing,distributed,concurrency,typesafe,http"
com.typesafe.akka,akka-http-testkit_2.13,"actor,akka,testing,distributed,concurrency,typesafe,http"
org.neo4j,neo4j-cypher-spec-suite-tools,"database,tools,graph,neo4j"
org.jetbrains.intellij.deps,trove4j,ide
org.flowable,flowable-form-engine,"forms,engine"
org.apache.commons,commons-imaging,"apache,commons"
com.github.docker-java,docker-java,"github,container,docker,client"
org.jboss.shrinkwrap.resolver,shrinkwrap-resolver-impl-maven,"build,build-system,maven,jboss"
org.gridkit.3rd.btrace,btrace-agent,agent
com.alibaba.testable,testable-agent,agent
com.github.cloudfoundry-community,nats-client,"github,client"
com.azure,azure-storage-blob,"azure,storage"
org.apache.geronimo.javamail,geronimo-javamail_1.6_mail,"apache,mail"
org.pentaho.pentaho-commons,pentaho-package-manager,manager
org.sakaiproject.edu-services.gradebook,gradebook-service-hibernate,"persistence,service,hibernate"
org.apache.shardingsphere,shardingsphere-jdbc-core-spring-boot-starter,"sql,jdbc,spring,apache,starter"
org.wso2.am.analytics.publisher,org.wso2.am.analytics.publisher.client.feature,"client,analytics"
org.wildfly.swarm,config-api-modules,"module,config,api"
org.joyqueue,joyqueue-data-model,"model,data"
org.wildfly.swarm,messaging-runtime,"messaging,runtime"
org.wildfly.swarm,naming-runtime,"naming,runtime"
com.google.cloud.tools,jib-maven-plugin,"plugin,google,tools,build,build-system,maven,cloud"
de.adorsys.psd2,event-service-rest-client,"event,rest,service,client"
com.hccake,ballcat-spring-boot-starter-xss,"spring,starter"
org.apache.sentry,sentry-hdfs-namenode-plugin,"plugin,hadoop,apache"
org.membrane-soa,service-proxy-test,"soa,service,testing,proxy"
com.bedatadriven.spss,spss-reader,reader
org.fusesource.scalate,scalate-wikitext_2.10,markdown
org.jfree,jfreechart,"visualization,charts,graphics"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.clearnlp-model-srl-en-mayo,model
